Date,Close
4/16/15,5.6225
4/17/15,5.55
4/20/15,5.5225
4/21/15,5.515
4/22/15,5.5775
4/23/15,5.555
4/24/15,5.5075
4/27/15,5.55
4/28/15,5.5775
4/29/15,5.535
4/30/15,5.55
5/1/15,5.6875
5/4/15,5.6525
5/5/15,5.5075
5/6/15,5.525
5/7/15,5.6225
5/8/15,5.2075
5/11/15,5.1575
5/12/15,5.2075
5/13/15,5.2375
5/14/15,5.3225
5/15/15,5.325
5/18/15,5.3175
5/19/15,5.26
5/20/15,5.26
5/21/15,5.2225
5/22/15,5.215
5/26/15,5.1825
5/27/15,5.46
5/28/15,5.535
5/29/15,5.5325
6/1/15,5.595
6/2/15,5.485
6/3/15,5.425
6/4/15,5.5225
6/5/15,5.565
6/8/15,5.4375
6/9/15,5.465
6/10/15,5.3675
6/11/15,5.425
6/12/15,5.2775
6/15/15,5.2675
6/16/15,5.3325
6/17/15,5.395
6/18/15,5.485
6/19/15,5.4675
6/22/15,5.445
6/23/15,5.305
6/24/15,5.2525
6/25/15,5.2925
6/26/15,5.185
6/29/15,5.03
6/30/15,5.0275
7/1/15,5.1
7/2/15,5.105
7/6/15,5.0425
7/7/15,4.9475
7/8/15,4.9125
7/9/15,4.8525
7/10/15,4.9375
7/13/15,4.97
7/14/15,4.9725
7/15/15,4.9375
7/16/15,5.0475
7/17/15,5.0175
7/20/15,4.925
7/21/15,4.9475
7/22/15,4.8525
7/23/15,4.9125
7/24/15,4.855
7/27/15,4.8275
7/28/15,4.9325
7/29/15,4.9925
7/30/15,5.005
7/31/15,4.9875
8/3/15,5.0725
8/4/15,5.0925
8/5/15,5.145
8/6/15,5.1125
8/7/15,5.745
8/10/15,5.945
8/11/15,5.915
8/12/15,5.93
8/13/15,5.88
8/14/15,5.885
8/17/15,5.8475
8/18/15,5.77
8/19/15,5.7475
8/20/15,5.54
8/21/15,5.3675
8/24/15,5.1775
8/25/15,5.07
8/26/15,5.4525
8/27/15,5.6575
8/28/15,5.6825
8/31/15,5.62
9/1/15,5.39
9/2/15,5.5525
9/3/15,5.5675
9/4/15,5.4375
9/8/15,5.67
9/9/15,5.5575
9/10/15,5.645
9/11/15,5.6625
9/14/15,5.6725
9/15/15,5.735
9/16/15,5.775
9/17/15,5.8275
9/18/15,5.8225
9/21/15,5.8825
9/22/15,5.7225
9/23/15,5.75
9/24/15,5.86
9/25/15,5.9025
9/28/15,5.825
9/29/15,5.9275
9/30/15,6.1625
10/1/15,6.0425
10/2/15,6.2
10/5/15,6.355
10/6/15,6.4375
10/7/15,6.505
10/8/15,6.5425
10/9/15,6.5175
10/12/15,6.5875
10/13/15,6.6
10/14/15,6.84
10/15/15,6.8575
10/16/15,6.965
10/19/15,6.9525
10/20/15,6.9425
10/21/15,6.8525
10/22/15,7.1
10/23/15,7.1475
10/26/15,7.115
10/27/15,7.11
10/28/15,7.1675
10/29/15,6.92
10/30/15,7.0925
11/2/15,7.175
11/3/15,7.125
11/4/15,7.0075
11/5/15,6.9275
11/6/15,7.8875
11/9/15,7.8525
11/10/15,7.7025
11/11/15,7.6275
11/12/15,7.6
11/13/15,7.45
11/16/15,7.6
11/17/15,7.6
11/18/15,7.7575
11/19/15,7.78
11/20/15,7.8475
11/23/15,7.73
11/24/15,7.7925
11/25/15,7.7825
11/27/15,7.8475
11/30/15,7.93
12/1/15,8.1875
12/2/15,8.125
12/3/15,8.1075
12/4/15,8.4375
12/7/15,8.2775
12/8/15,8.39
12/9/15,8.1775
12/10/15,8.245
12/11/15,8.1225
12/14/15,8.1425
12/15/15,8.2425
12/16/15,8.2925
12/17/15,8.1675
12/18/15,8.035
12/21/15,8.225
12/22/15,8.2325
12/23/15,8.265
12/24/15,8.2925
12/28/15,8.285
12/29/15,8.42
12/30/15,8.3475
12/31/15,8.24
1/4/16,8.0925
1/5/16,8.2225
1/6/16,7.8825
1/7/16,7.57
1/8/16,7.4075
1/11/16,7.42
1/12/16,7.545
1/13/16,7.315
1/14/16,7.1675
1/15/16,6.7775
1/19/16,6.8325
1/20/16,6.87
1/21/16,6.95
1/22/16,7.1125
1/25/16,7.105
1/26/16,7.175
1/27/16,7.09
1/28/16,7.0125
1/29/16,7.3225
2/1/16,7.325
2/2/16,7.015
2/3/16,7.05
2/4/16,7.0525
2/5/16,6.6075
2/8/16,6.305
2/9/16,6.3725
2/10/16,6.3575
2/11/16,6.325
2/12/16,6.4325
2/16/16,6.7475
2/17/16,6.915
2/18/16,7.51
2/19/16,7.61
2/22/16,7.88
2/23/16,7.9
2/24/16,7.955
2/25/16,7.9725
2/26/16,7.92
2/29/16,7.84
3/1/16,8.1875
3/2/16,8.235
3/3/16,8.1625
3/4/16,8.1375
3/7/16,8.085
3/8/16,7.9375
3/9/16,7.9325
3/10/16,7.92
3/11/16,8.055
3/14/16,8.075
3/15/16,8.035
3/16/16,8.275
3/17/16,8.205
3/18/16,8.4525
3/21/16,8.4775
3/22/16,8.4625
3/23/16,8.6075
3/24/16,8.62
3/28/16,8.7075
3/29/16,8.8475
3/30/16,8.94
3/31/16,8.9075
4/1/16,9.0375
4/4/16,8.95
4/5/16,8.9375
4/6/16,8.95
4/7/16,8.8575
4/8/16,8.915
4/11/16,8.97
4/12/16,8.96
4/13/16,9.185
4/14/16,9.21
4/15/16,9.2825
4/18/16,9.2425
4/19/16,9.0775
4/20/16,9.1125
4/21/16,9.1025
4/22/16,9.0675
4/25/16,9.1125
4/26/16,9.12
4/27/16,9.3275
4/28/16,9.05
4/29/16,8.8825
5/2/16,9
5/3/16,8.8925
5/4/16,8.69
5/5/16,8.7425
5/6/16,8.8325
5/9/16,8.82
5/10/16,8.99
5/11/16,9.015
5/12/16,8.8925
5/13/16,10.245
5/16/16,10.5475
5/17/16,10.57
5/18/16,10.84
5/19/16,10.8875
5/20/16,11.0825
5/23/16,11.1
5/24/16,11.34
5/25/16,11.2925
5/26/16,11.4125
5/27/16,11.475
5/31/16,11.68
6/1/16,11.7025
6/2/16,11.785
6/3/16,11.62
6/6/16,11.56
6/7/16,11.5825
6/8/16,11.545
6/9/16,11.845
6/10/16,11.55
6/13/16,11.6975
6/14/16,11.72
6/15/16,11.84
6/16/16,11.8875
6/17/16,11.68
6/20/16,11.89
6/21/16,11.8175
6/22/16,11.8075
6/23/16,12.1225
6/24/16,11.4325
6/27/16,11.31
6/28/16,11.475
6/29/16,11.6625
6/30/16,11.7525
7/1/16,11.665
7/5/16,11.8375
7/6/16,11.9125
7/7/16,12.2225
7/8/16,12.7125
7/11/16,13.005
7/12/16,13.2
7/13/16,13.195
7/14/16,13.33
7/15/16,13.175
7/18/16,13.2425
7/19/16,13.38
7/20/16,13.555
7/21/16,13.305
7/22/16,13.6675
7/25/16,13.92
7/26/16,14.1575
7/27/16,14.015
7/28/16,14.045
7/29/16,14.275
8/1/16,14.1825
8/2/16,14.01
8/3/16,14.0475
8/4/16,14.3075
8/5/16,14.55
8/8/16,14.685
8/9/16,14.7225
8/10/16,14.6275
8/11/16,14.925
8/12/16,15.76
8/15/16,15.745
8/16/16,15.65
8/17/16,15.2875
8/18/16,15.525
8/19/16,15.565
8/22/16,15.63
8/23/16,15.7275
8/24/16,15.485
8/25/16,15.3825
8/26/16,15.5075
8/29/16,15.4975
8/30/16,15.4075
8/31/16,15.335
9/1/16,15.7875
9/2/16,15.6325
9/6/16,15.78
9/7/16,15.5475
9/8/16,15.66
9/9/16,14.88
9/12/16,15.1875
9/13/16,14.9675
9/14/16,15.1
9/15/16,15.6725
9/16/16,15.71
9/19/16,15.9175
9/20/16,15.7725
9/21/16,16.215
9/22/16,16.254999
9/23/16,16.237499
9/26/16,16.084999
9/27/16,16.635
9/28/16,16.695
9/29/16,16.85
9/30/16,17.129999
10/3/16,17.112499
10/4/16,17.075001
10/5/16,17.057501
10/6/16,16.834999
10/7/16,16.7125
10/10/16,16.775
10/11/16,16.532499
10/12/16,16.6075
10/13/16,16.3375
10/14/16,16.497499
10/17/16,16.4025
10/18/16,16.6525
10/19/16,16.6175
10/20/16,16.932501
10/21/16,16.885
10/24/16,17.6775
10/25/16,17.967501
10/26/16,18.040001
10/27/16,17.67
10/28/16,17.639999
10/31/16,17.790001
11/1/16,17.262501
11/2/16,17.190001
11/3/16,16.99
11/4/16,16.8925
11/7/16,17.817499
11/8/16,17.790001
11/9/16,17.49
11/10/16,16.942499
11/11/16,21.9925
11/14/16,20.91
11/15/16,21.547501
11/16/16,22.907499
11/17/16,23.0975
11/18/16,23.34
11/21/16,23.245001
11/22/16,23.4125
11/23/16,23.4925
11/25/16,23.540001
11/28/16,23.5275
11/29/16,23.3125
11/30/16,23.049999
12/1/16,21.91
12/2/16,22.112499
12/5/16,22.969999
12/6/16,23.3475
12/7/16,23.7675
12/8/16,23.370001
12/9/16,22.955
12/12/16,22.397499
12/13/16,22.7925
12/14/16,24.112499
12/15/16,24.6775
12/16/16,25.102501
12/19/16,25.407499
12/20/16,26.2925
12/21/16,26.4575
12/22/16,26.7775
12/23/16,27.445
12/27/16,29.33
12/28/16,27.3125
12/29/16,27.8575
12/30/16,26.684999
1/3/17,25.502501
1/4/17,26.0975
1/5/17,25.434999
1/6/17,25.775
1/9/17,26.82
1/10/17,26.6175
1/11/17,26.290001
1/12/17,25.860001
1/13/17,25.8575
1/17/17,25.2775
1/18/17,25.737499
1/19/17,26.290001
1/20/17,26.002501
1/23/17,26.272499
1/24/17,26.8325
1/25/17,26.9475
1/26/17,27.4125
1/27/17,27.942499
1/30/17,27.504999
1/31/17,27.295
2/1/17,28.487499
2/2/17,28.8475
2/3/17,28.594999
2/6/17,29.327499
2/7/17,29.782499
2/8/17,29.6525
2/9/17,29.094999
2/10/17,28.405001
2/13/17,27.094999
2/14/17,27.195
2/15/17,27.25
2/16/17,26.8125
2/17/17,26.807501
2/21/17,27.7675
2/22/17,27.690001
2/23/17,25.122499
2/24/17,25.365
2/27/17,26.102501
2/28/17,25.370001
3/1/17,25.6975
3/2/17,24.75
3/3/17,24.6075
3/6/17,24.4175
3/7/17,24.684999
3/8/17,24.639999
3/9/17,24.635
3/10/17,24.780001
3/13/17,25.4625
3/14/17,25.445
3/15/17,25.637501
3/16/17,25.952499
3/17/17,26.5175
3/20/17,27.362499
3/21/17,26.477501
3/22/17,27.0175
3/23/17,26.772499
3/24/17,26.8675
3/27/17,27.0625
3/28/17,26.922501
3/29/17,26.834999
3/30/17,27.35
3/31/17,27.2325
4/3/17,27.094999
4/4/17,25.195
4/5/17,25.0075
4/6/17,25.190001
4/7/17,25.0825
4/10/17,24.442499
4/11/17,24.530001
4/12/17,24.327499
4/13/17,23.872499
4/17/17,24.807501
4/18/17,24.8225
4/19/17,24.92
4/20/17,25.315001
4/21/17,25.42
4/24/17,25.737499
4/25/17,26.184999
4/26/17,26.004999
4/27/17,26.41
4/28/17,26.075001
5/1/17,26.66
5/2/17,25.870001
5/3/17,26.0625
5/4/17,25.9625
5/5/17,25.965
5/8/17,25.692499
5/9/17,25.735001
5/10/17,30.3225
5/11/17,31.625
5/12/17,31.9725
5/15/17,33.577499
5/16/17,34.202499
5/17/17,31.93
5/18/17,33.267502
5/19/17,34
5/22/17,34.724998
5/23/17,34.2575
5/24/17,34.642502
5/25/17,34.564999
5/26/17,35.459999
5/30/17,36.217499
5/31/17,36.087502
6/1/17,36.09
6/2/17,35.91
6/5/17,37.002499
6/6/17,36.834999
6/7/17,37.279999
6/8/17,39.985001
6/9/17,37.400002
6/12/17,37.4925
6/13/17,37.849998
6/14/17,37.93
6/15/17,38.092499
6/16/17,37.904999
6/19/17,39.330002
6/20/17,39.272499
6/21/17,39.8675
